,median_house_value
7386,185200.0
6728,61500.0
14786,310000.0
942,137500.0
388,231800.0
9885,97200.0
20256,174700.0
2356,239100.0
13539,87500.0
6196,175300.0
5641,500001.0
18337,65600.0
10,281500.0
13050,72900.0
1315,232000.0
564,178100.0
18217,150400.0
17670,161100.0
760,500001.0
12243,182900.0
18464,240200.0
11157,166700.0
11916,95500.0
13430,318000.0
20171,123200.0
5194,382100.0
6117,201000.0
1870,50000.0
7627,230700.0
7660,249600.0
11575,120000.0
4712,87500.0
59,60000.0
15913,392600.0
12266,318100.0
16048,99400.0
20467,68100.0
8252,500001.0
18006,239500.0
3006,171100.0
14110,102400.0
7095,142500.0
425,318700.0
10636,184100.0
20239,300000.0
14252,262000.0
10120,156100.0
15961,211400.0
7349,123200.0
10403,103100.0
11399,150400.0
6540,197700.0
14593,178100.0
12889,118800.0
15003,154200.0
544,221500.0
12427,145900.0
10551,164100.0
20337,267000.0
12613,70100.0
8784,213000.0
472,212100.0
18967,120800.0
20517,267400.0
2840,86300.0
8267,156100.0
15767,203300.0
8466,210900.0
7721,352100.0
1287,182400.0
12160,195600.0
11889,161200.0
4049,82100.0
11520,159300.0
14884,342900.0
11987,225000.0
17008,166800.0
8843,230400.0
13200,142900.0
12122,94900.0
19999,205400.0
20051,144700.0
17343,241700.0
6188,96900.0
14413,160600.0
7912,104200.0
8162,98800.0
3282,249300.0
6154,240700.0
20325,410700.0
1209,168800.0
1858,239400.0
12378,240900.0
2305,294200.0
16417,123300.0
8699,355200.0
2244,97200.0
12510,181300.0
15946,214700.0
8172,77300.0
5703,196400.0
2258,380800.0
18545,273800.0
4886,133500.0
13333,297900.0
1028,133300.0
16653,144200.0
6649,324700.0
13819,275000.0
1684,369100.0
16840,170800.0
6686,135000.0
16624,500001.0
17154,70300.0
12899,122500.0
10816,76000.0
7782,51700.0
2993,450000.0
16957,121800.0
14681,362200.0
19870,225600.0
4433,128600.0
18925,89600.0
18306,399000.0
19154,118100.0
20525,90600.0
3064,68100.0
19195,272600.0
15837,96500.0
13059,233500.0
5331,248200.0
13486,170800.0
3076,119200.0
19307,115300.0
2527,358600.0
6369,242600.0
2787,325000.0
9922,500001.0
1585,66000.0
13008,118100.0
2940,74300.0
16297,184300.0
4634,126500.0
4123,236500.0
11941,241700.0
6602,125200.0
9486,500001.0
15397,204500.0
9591,258800.0
15328,276900.0
16342,213200.0
10585,192400.0
18617,350600.0
5403,471400.0
2009,109600.0
13025,400000.0
7177,159800.0
8899,386400.0
204,257100.0
6151,130400.0
1371,500001.0
20485,174500.0
10457,147500.0
11267,131900.0
14371,54200.0
13304,241200.0
5165,121000.0
18730,354000.0
18626,126000.0
8457,88300.0
10164,46700.0
15808,130800.0
3386,149000.0
10508,290600.0
2227,209200.0
356,263600.0
8349,96800.0
14086,175000.0
13719,286500.0
8765,142600.0
7243,226200.0
6153,290900.0
1608,219000.0
5733,156300.0
5168,115200.0
3379,162500.0
5179,158300.0
8325,119800.0
905,56700.0
8727,90700.0
332,266700.0
6775,289400.0
11871,162500.0
18667,157700.0
10445,175000.0
10435,178500.0
7429,364700.0
9729,152400.0
11167,218100.0
4777,68500.0
17240,209200.0
179,84800.0
8219,216900.0
14028,92500.0
2533,500001.0
17220,157700.0
8698,361300.0
8900,95800.0
7417,167400.0
10879,150100.0
3142,414700.0
7082,92400.0
3739,163000.0
12723,224800.0
12574,177000.0
4281,315200.0
13140,500001.0
19666,284800.0
9146,190100.0
13493,179500.0
13995,72400.0
10273,303300.0
3324,186200.0
17489,271100.0
2411,52500.0
12147,163400.0
19272,225000.0
6822,88200.0
17265,236200.0
20093,78800.0
4311,217100.0
9916,245500.0
8731,141300.0
8023,141700.0
5984,224500.0
9742,134800.0
15290,175000.0
16337,117400.0
5842,84500.0
3173,232400.0
2353,138200.0
15359,297300.0
10661,228600.0
11414,134300.0
10420,220500.0
5418,144600.0
3091,134600.0
7761,212500.0
2908,171300.0
3950,355600.0
11550,394300.0
7354,62800.0
15215,301100.0
19136,277300.0
5936,245600.0
17279,88300.0
16530,208200.0
8933,173400.0
15141,108300.0
13882,281300.0
14360,500001.0
14503,136400.0
2923,286600.0
14808,183200.0
2239,268800.0
6830,131000.0
9199,140800.0
17671,500001.0
17365,177400.0
18211,197100.0
303,98400.0
20144,190600.0
20417,188900.0
15243,81700.0
5717,50500.0
10545,258600.0
8467,158000.0
19674,500001.0
14351,310900.0
13453,178800.0
19525,277000.0
6843,169400.0
6950,56200.0
12673,330800.0
10175,195000.0
877,269700.0
7639,70600.0
6125,99500.0
5792,96300.0
6708,82600.0
89,500001.0
13446,500001.0
3947,176600.0
13044,254700.0
10518,51700.0
7710,87500.0
12740,238700.0
18281,196900.0
9858,307400.0
8433,197100.0
4757,108900.0
2162,136700.0
19862,286100.0
3984,500000.0
12161,218800.0
1250,500001.0
19818,330800.0
5296,339200.0
16726,193800.0
19110,90900.0
19242,265600.0
18417,88800.0
13787,144300.0
7404,276800.0
3787,500001.0
14645,236200.0
6399,500001.0
10524,157800.0
6156,158600.0
19849,119600.0
6969,159100.0
8671,95500.0
3871,112500.0
129,111600.0
18550,346200.0
5887,156900.0
14131,137500.0
10384,368700.0
83,137500.0
14184,198900.0
17057,498800.0
17796,138400.0
13839,117800.0
5315,90600.0
12528,144000.0
1667,263700.0
15977,129100.0
14440,284000.0
19108,258300.0
2143,90800.0
17808,113500.0
3973,110900.0
7603,89200.0
11882,374600.0
14034,205600.0
17735,210000.0
2478,104200.0
7526,222100.0
7894,237500.0
11439,200000.0
3676,245000.0
2222,188000.0
15313,259800.0
7474,112500.0
14722,108000.0
3227,402900.0
19535,279300.0
15905,234700.0
8948,151900.0
5823,367700.0
5274,67800.0
10159,86900.0
4101,178800.0
10419,234700.0
4571,500001.0
17746,217200.0
13501,500001.0
19733,260300.0
11828,203900.0
7763,117700.0
16941,212100.0
12394,210100.0
9036,347700.0
7397,234400.0
4400,215700.0
19269,186900.0
7711,131600.0
246,350900.0
12414,240200.0
13012,66500.0
10894,75100.0
12864,248200.0
13640,211300.0
11638,140000.0
15732,203100.0
8819,246400.0
5536,136400.0
9464,135200.0
18076,223700.0
18406,127900.0
20464,95300.0
11073,307400.0
15401,106700.0
18602,71300.0
6740,500001.0
5247,221200.0
17119,41500.0
9668,161900.0
9145,279400.0
683,500001.0
14243,113000.0
17181,237400.0
8107,154200.0
15536,327700.0
8526,45000.0
16510,241900.0
16181,161600.0
17017,165100.0
17667,298900.0
13569,128100.0
8303,266800.0
6119,307100.0
7124,52900.0
14466,500001.0
1405,487800.0
11438,158000.0
1225,200500.0
11078,146200.0
4091,254700.0
16535,200000.0
20610,45500.0
2005,130200.0
1705,111900.0
7908,209800.0
15564,141400.0
14209,396400.0
15682,122700.0
14446,184400.0
7312,264000.0
8382,145800.0
12361,275000.0
14094,182500.0
8817,88500.0
11077,411500.0
16702,483300.0
11293,232400.0
1453,183200.0
7067,82800.0
10034,500001.0
790,474600.0
9394,73800.0
2129,134700.0
10691,154500.0
118,179700.0
6204,253100.0
5695,179200.0
4703,150200.0
14481,185400.0
3906,293300.0
13652,180900.0
9173,418200.0
15864,346400.0
889,231400.0
13596,300000.0
1860,136000.0
16573,76900.0
2301,141300.0
9769,204300.0
3253,241400.0
10619,106300.0
17528,45600.0
16210,87100.0
1139,483300.0
17635,142900.0
8437,225000.0
9751,276200.0
9749,62900.0
20150,100100.0
16394,161500.0
15596,442500.0
2611,500001.0
3564,192600.0
19203,133900.0
10689,131600.0
12550,135500.0
6678,230900.0
5321,183300.0
14671,203400.0
10068,166900.0
18873,83300.0
16984,260800.0
17006,375000.0
17759,433300.0
19595,113000.0
13236,168300.0
207,164300.0
1939,143200.0
8085,155000.0
4915,228200.0
12451,500001.0
1270,288200.0
7785,240800.0
18761,101200.0
12802,91800.0
6041,350000.0
3868,148900.0
17813,225000.0
8635,97400.0
2273,129200.0
18947,181300.0
9096,214500.0
11705,141200.0
4410,84000.0
11231,209500.0
15965,42500.0
6019,158100.0
2,352100.0
8798,55600.0
4288,89600.0
4914,186800.0
5804,239800.0
15630,215900.0
10931,240300.0
2592,334600.0
16096,353100.0
5938,121600.0
7255,48100.0
1461,90600.0
657,500001.0
20044,95800.0
12110,274200.0
19123,67000.0
18192,157900.0
15604,207300.0
4064,138600.0
12771,500001.0
927,191700.0
11134,141100.0
10834,114100.0
15482,220000.0
18433,232500.0
11064,71700.0
1826,275900.0
16758,121500.0
12556,176100.0
5601,181800.0
19716,214500.0
8574,200000.0
8402,238000.0
5960,83500.0
7311,169100.0
10987,189400.0
15440,153000.0
6149,138900.0
4152,500001.0
255,273400.0
7247,189600.0
17277,89200.0
8570,238100.0
2492,114800.0
2834,108900.0
18863,184400.0
5607,120000.0
16362,248600.0
13638,72900.0
12226,410000.0
3414,134600.0
13629,67000.0
4630,484600.0
2545,500001.0
14218,71300.0
13909,212500.0
2243,426000.0
4718,229200.0
1579,60200.0
17139,99100.0
9316,270600.0
19983,184200.0
7319,231000.0
13560,187500.0
19275,212800.0
4516,99800.0
19532,162700.0
11651,131600.0
12627,178300.0
14628,439100.0
10094,177600.0
16438,500001.0
12739,260600.0
16563,67900.0
15555,130100.0
2745,193800.0
5148,108900.0
14007,150500.0
430,188900.0
8380,178900.0
16014,87700.0
17149,94800.0
8951,125000.0
6909,87500.0
18331,286500.0
17811,137600.0
18508,140300.0
15530,263600.0
18072,70600.0
3056,122100.0
6318,122400.0
14554,92400.0
4981,116500.0
6768,266700.0
4546,173600.0
15511,140300.0
15375,264200.0
17281,265600.0
1075,101900.0
20076,95200.0
4761,158900.0
20156,176700.0
1938,500001.0
18342,102400.0
9176,74800.0
16775,361500.0
578,100000.0
306,500001.0
19271,175900.0
9257,94600.0
559,193800.0
9290,200400.0
10086,273600.0
17327,324600.0
2976,283400.0
17537,116200.0
12357,143000.0
2687,83200.0
2430,423100.0
16346,148200.0
9950,137300.0
4461,321800.0
1553,272600.0
7883,195300.0
3968,111900.0
5497,169700.0
13655,281900.0
17225,50700.0
14353,244700.0
6633,127400.0
3921,43800.0
10395,500001.0
16767,97900.0
16570,116800.0
17439,500001.0
7215,207700.0
14930,344000.0
14639,108300.0
63,76100.0
18857,98400.0
13185,318600.0
13900,115200.0
15901,500001.0
14000,94900.0
18707,82000.0
4088,81300.0
4944,104900.0
9827,125000.0
11104,500001.0
15972,261500.0
4778,271400.0
1996,178500.0
17278,144600.0
47,137500.0
9712,500001.0
10773,500001.0
10966,492200.0
17341,82300.0
19828,340000.0
7726,234500.0
19239,58000.0
8684,147000.0
2436,162200.0
17956,173200.0
78,112500.0
16054,151300.0
16091,68400.0
12085,273700.0
7376,456900.0
4380,123000.0
16890,384400.0
1281,380000.0
4439,130500.0
16901,78700.0
14817,65200.0
18329,81000.0
18745,179200.0
14247,98400.0
2288,174300.0
12603,500001.0
909,433300.0
18932,129300.0
10464,89900.0
19172,112500.0
13076,350000.0
12143,500001.0
12782,57100.0
12674,500001.0
6890,154300.0
12731,170600.0
3538,50000.0
1332,265600.0
20536,284000.0
16011,97100.0
4976,97900.0
16188,51100.0
330,77000.0
10530,201800.0
6907,90100.0
17617,349000.0
6579,216700.0
13570,193500.0
2739,164800.0
12583,135500.0
6074,133400.0
4600,127200.0
19126,368500.0
15142,137900.0
17180,195500.0
18466,270800.0
11181,402600.0
2767,215200.0
14885,69600.0
19688,155900.0
15063,324600.0
18297,142600.0
7072,162500.0
7534,231900.0
16032,417800.0
2817,330500.0
19973,382100.0
4368,143400.0
14471,86300.0
15742,189100.0
13366,94300.0
9158,80300.0
12711,90600.0
11691,145000.0
8470,143100.0
3468,195200.0
6270,161300.0
16714,107200.0
5676,394700.0
15058,95500.0
3259,274500.0
10341,56500.0
4291,106700.0
4027,101000.0
15031,110200.0
20075,420000.0
15056,94200.0
11335,93800.0
81,112500.0
17318,140200.0
4629,159600.0
12969,148000.0
547,222400.0
16846,84400.0
20620,100000.0
7026,219700.0
6808,199600.0
17605,148100.0
726,123600.0
20029,254200.0
2023,80400.0
14264,175000.0
6232,266000.0
9986,500001.0
1674,56700.0
15979,57500.0
14396,482200.0
19690,244300.0
4039,360000.0
6001,360000.0
8923,184600.0
3345,50300.0
9745,308100.0
8615,196400.0
14938,98800.0
13701,153600.0
18496,331600.0
16113,113400.0
15665,267200.0
8343,147400.0
4210,269500.0
3986,332500.0
12996,146400.0
6891,49000.0
15736,500001.0
19715,156800.0
16481,225000.0
3621,137500.0
864,397400.0
12153,84400.0
4090,257400.0
16026,137500.0
19246,183900.0
2621,87500.0
15016,254700.0
11303,350000.0
7300,150000.0
3088,112500.0
5000,500001.0
19441,265500.0
315,160100.0
4038,275200.0
17866,398500.0
5214,487000.0
12389,166500.0
4078,168100.0
6043,53300.0
18165,216800.0
17627,279200.0
20057,89300.0
7087,306400.0
1274,330400.0
1458,100000.0
9154,54600.0
68,85000.0
7203,72600.0
2439,68300.0
19,162900.0
5833,223700.0
19621,500001.0
14188,309200.0
11683,160700.0
19228,125900.0
2465,65600.0
9531,63500.0
11999,137300.0
4889,241900.0
11538,145000.0
7564,275000.0
15780,500001.0
19029,233000.0
134,156500.0
19797,143100.0
11219,207100.0
13971,264300.0
9966,165400.0
3854,187500.0
5280,164600.0
5384,107900.0
4113,244400.0
15281,201400.0
5343,407200.0
17710,250000.0
2100,113500.0
3958,158800.0
13372,81800.0
17908,163300.0
10527,500001.0
12087,136000.0
11350,82800.0
10388,309700.0
8062,150700.0
3993,500001.0
9503,91600.0
19061,102100.0
14027,207200.0
5985,307900.0
10344,475000.0
18284,302600.0
2951,202100.0
9982,73400.0
8600,321500.0
8230,234300.0
18114,255600.0
5417,330500.0
8120,65800.0
18372,250000.0
9380,89400.0
5578,185800.0
19078,118400.0
12299,114900.0
20147,350000.0
9056,344200.0
6844,386200.0
18021,144900.0
8081,100600.0
18059,113800.0
17165,218200.0
3863,381200.0
8598,310900.0
14377,165100.0
18918,400000.0
8223,155100.0
4007,250000.0
5730,310600.0
2407,191400.0
6644,157800.0
4783,268100.0
13734,257300.0
1883,265700.0
6851,97900.0
225,158300.0
4768,190000.0
14100,284700.0
17530,139600.0
17729,58500.0
4760,74600.0
15763,261000.0
5240,223100.0
17469,64800.0
2408,500001.0
17450,164600.0
16571,210000.0
13234,131600.0
9654,125500.0
5082,172600.0
11853,134500.0
19552,500001.0
50,171900.0
4999,207300.0
1288,355600.0
6778,144200.0
4150,84500.0
18,158700.0
560,75700.0
3356,129200.0
6901,54100.0
7134,290900.0
4006,42700.0
6266,141300.0
20285,254400.0
20016,271600.0
10071,364800.0
15891,161700.0
3971,56100.0
3158,213400.0
5049,177900.0
14746,237500.0
4136,87200.0
12907,65000.0
11395,55900.0
1822,133200.0
5320,194100.0
10418,420300.0
14632,52700.0
7666,125000.0
9400,176300.0
9551,172700.0
11628,292900.0
16605,223200.0
16315,64400.0
2097,170500.0
381,290000.0
2549,159400.0
10861,175200.0
7514,132800.0
14177,320700.0
16547,99200.0
10343,388900.0
12725,218200.0
13443,188300.0
4083,76900.0
2132,108600.0
15962,205000.0
783,247900.0
17424,157600.0
7265,369400.0
3182,83700.0
14721,127100.0
5053,149000.0
15454,500001.0
19047,500001.0
13547,172500.0
11235,225600.0
1129,111300.0
16684,166700.0
9272,500001.0
19419,332600.0
7436,46300.0
9555,233500.0
6828,103600.0
17634,136700.0
7257,231500.0
11553,175000.0
13946,137500.0
17629,87500.0
5935,183800.0
16040,99100.0
5864,59800.0
15543,182600.0
2462,240900.0
13715,287500.0
19263,113300.0
13251,118800.0
1554,109200.0
11487,118300.0
3991,85700.0
19719,275000.0
6563,162500.0
14962,255400.0
14974,250000.0
10037,187500.0
15804,72800.0
19894,110500.0
964,123100.0
10189,86400.0
5914,217800.0
11300,108800.0
18581,226300.0
18069,326100.0
17036,96700.0
8690,500001.0
11449,91500.0
1289,75800.0
8396,90400.0
11393,195300.0
20533,345800.0
20263,162500.0
4000,151600.0
16785,177900.0
11920,91900.0
2849,69600.0
4085,179200.0
7725,166600.0
3432,179000.0
15238,131700.0
4722,222200.0
16829,324000.0
8284,189600.0
7426,255200.0
13068,432500.0
601,153700.0
17423,51800.0
12203,190400.0
9102,191800.0
519,96900.0
17591,70400.0
2085,194800.0
14617,80000.0
4299,192300.0
7191,500001.0
20018,214800.0
7507,500001.0
3040,204500.0
14738,240900.0
1213,162200.0
8008,500001.0
17141,308800.0
16512,500001.0
6816,500001.0
9594,180000.0
15336,142500.0
8805,285800.0
10940,230000.0
11289,134100.0
10511,145600.0
15078,51300.0
8174,221400.0
17347,78900.0
18450,153400.0
3856,93600.0
14753,122200.0
10489,98100.0
12626,500001.0
15919,130500.0
2590,93700.0
7245,204000.0
9344,276800.0
13277,146400.0
6223,142600.0
2494,475000.0
16601,148200.0
5645,192000.0
12835,93600.0
20005,100000.0
20082,93800.0
8270,113600.0
17389,113500.0
8168,112500.0
14117,228100.0
18283,174100.0
7018,90800.0
8478,362400.0
18103,500001.0
19030,153200.0
4399,300000.0
2026,63100.0
17665,125000.0
12663,168800.0
1500,86200.0
20532,229200.0
19404,177200.0
7759,156000.0
12646,183000.0
8984,152400.0
20437,194600.0
20265,87500.0
3516,192900.0
13380,500001.0
18014,65000.0
2986,116600.0
9283,354400.0
11047,446600.0
12887,265200.0
18359,124100.0
10349,500001.0
17793,357000.0
12467,304700.0
12578,237900.0
9639,118100.0
14635,281300.0
12752,72000.0
13866,190700.0
12568,354200.0
4553,400000.0
18163,221800.0
9017,82800.0
3083,82800.0
5484,258400.0
12027,303900.0
14820,42500.0
10758,69400.0
2447,94700.0
12591,103100.0
2487,74700.0
13225,111600.0
8717,56700.0
8298,430100.0
597,87800.0
5633,154200.0
16123,266000.0
11852,203000.0
2178,53400.0
9968,131000.0
18070,179600.0
1931,500001.0
6849,281300.0
7115,69300.0
5888,166100.0
10256,277000.0
17826,73100.0
16448,301300.0
13572,79500.0
7427,457300.0
12713,154700.0
19536,157500.0
6977,63700.0
1613,189200.0
17782,164300.0
13799,159000.0
18567,55500.0
6493,97200.0
8366,500001.0
14456,195200.0
1452,225000.0
14303,142700.0
842,500001.0
11431,219600.0
3656,156800.0
20271,113700.0
14947,115300.0
18084,259400.0
8476,81300.0
947,158100.0
1280,126600.0
7979,160900.0
11720,166600.0
14737,102900.0
15706,500001.0
2580,190100.0
2425,181800.0
11132,175700.0
5761,153300.0
14099,271300.0
13214,236300.0
3970,189900.0
3773,167300.0
3948,500001.0
5814,316900.0
9006,92200.0
5229,142400.0
16248,157100.0
16802,283000.0
5739,51900.0
7521,314900.0
5318,74100.0
13178,94200.0
16751,59800.0
7500,118800.0
14701,73200.0
407,323100.0
17751,186600.0
16773,154300.0
268,129400.0
20268,99200.0
8286,171700.0
16414,221100.0
8972,63600.0
11806,94900.0
6068,105900.0
16157,132100.0
15993,210400.0
7544,229500.0
20111,205100.0
4901,53300.0
17376,343100.0
10148,165000.0
5515,160200.0
19712,134200.0
364,173400.0
16365,182100.0
17159,117600.0
2566,67500.0
4642,76700.0
19205,75500.0
11887,99500.0
10254,500001.0
16763,178300.0
12822,88300.0
11119,193100.0
12380,298900.0
16278,289100.0
3665,279400.0
17778,184400.0
17043,234800.0
5358,300000.0
15175,92500.0
10855,146400.0
16577,177300.0
20001,349600.0
16990,474700.0
15333,350000.0
15452,62800.0
16593,143800.0
6146,120200.0
17333,262400.0
16625,164400.0
14633,150400.0
3257,106700.0
14437,235600.0
835,130600.0
1772,348200.0
20170,110000.0
6898,264500.0
3384,141400.0
9952,130700.0
15895,258300.0
16877,189900.0
1455,75800.0
6370,99300.0
4645,163400.0
12188,187500.0
7862,136900.0
2235,128100.0
182,118100.0
11879,184800.0
1305,62800.0
12872,220000.0
168,68400.0
16776,246400.0
17373,193800.0
2804,220500.0
7220,239300.0
12699,362200.0
159,500000.0
7593,121500.0
4618,91900.0
1767,101300.0
16548,302200.0
6025,66300.0
3367,67200.0
5977,285400.0
13538,48000.0
10772,135000.0
8335,348300.0
14229,114600.0
4792,169100.0
1199,90100.0
4827,111100.0
20036,490800.0
1312,190700.0
13111,103900.0
5821,85400.0
13639,225900.0
9139,187500.0
19288,83200.0
3114,294000.0
17091,50600.0
498,199600.0
20448,337300.0
19914,157100.0
5038,112500.0
7946,364300.0
3666,214200.0
1041,175000.0
5332,470000.0
6168,313800.0
16184,203300.0
1108,125000.0
12915,103500.0
4521,190500.0
19626,220500.0
12911,172900.0
2759,95000.0
20539,191400.0
9149,143500.0
5995,142700.0
13394,89500.0
16049,206800.0
1336,361000.0
6906,162500.0
15544,76200.0
15572,386000.0
17112,115100.0
2392,373400.0
2933,160900.0
4139,185100.0
2782,88200.0
5224,84200.0
2207,76600.0
13776,348100.0
7906,450800.0
390,108800.0
4181,166300.0
2910,235400.0
3313,287200.0
14771,284100.0
9206,424000.0
19683,55000.0
19646,136500.0
10246,226000.0
13206,151400.0
1004,71800.0
7239,142900.0
8936,153600.0
18000,91900.0
17845,145500.0
6586,143800.0
6868,224200.0
4764,137500.0
6177,400000.0
12019,135700.0
13328,160000.0
20624,87200.0
2555,245200.0
15678,193700.0
20003,500001.0
14606,226300.0
13997,133500.0
11704,95300.0
9092,150000.0
16415,227100.0
18881,357600.0
6498,135700.0
4934,232400.0
5970,222500.0
3699,191200.0
20382,265000.0
241,160100.0
7569,500001.0
14614,137500.0
8556,95300.0
14596,159700.0
14848,220700.0
9016,192100.0
1516,168800.0
9235,140300.0
14566,204300.0
12067,121000.0
389,270000.0
4726,176900.0
11503,187500.0
11528,86800.0
18074,239400.0
10429,252400.0
15445,86900.0
7680,247100.0
1145,147700.0
6490,400000.0
10498,61300.0
8356,500001.0
18820,130200.0
8435,161700.0
15985,83200.0
19610,182600.0
5372,137500.0
11299,105700.0
7052,172700.0
20067,275000.0
19413,107000.0
2991,212500.0
4004,223000.0
2130,176800.0
13219,369400.0
10430,62700.0
10995,154200.0
2757,183000.0
11936,141400.0
17192,500001.0
2240,131800.0
192,198800.0
12700,52100.0
1465,160000.0
13703,240000.0
6837,196200.0
13479,230600.0
9539,330200.0
14008,204200.0
19000,124100.0
9935,187500.0
3681,153300.0
13763,220500.0
3391,158200.0
2724,225000.0
9504,500001.0
2978,172500.0
10488,109000.0
17968,78800.0
1978,213200.0
1089,169800.0
12105,500001.0
2427,96300.0
4105,270500.0
12165,65200.0
14867,112500.0
12252,135400.0
17907,375000.0
3349,39800.0
2468,69400.0
11282,181900.0
15872,221300.0
1677,125000.0
867,177900.0
14712,123500.0
8891,500001.0
7664,213400.0
18774,97400.0
17462,124700.0
12093,91200.0
1034,389700.0
18034,445900.0
20403,67500.0
19045,44400.0
2556,181300.0
8926,67500.0
14183,465700.0
14764,176000.0
18562,87500.0
11621,98800.0
14230,352800.0
13103,318100.0
5349,122500.0
2504,194300.0
16883,162500.0
20471,450000.0
19436,122200.0
69,129200.0
455,345800.0
14472,218300.0
15363,65000.0
11273,70700.0
16374,344800.0
10544,390000.0
19304,95800.0
16316,224400.0
5116,405800.0
1197,218200.0
17138,203100.0
3527,164300.0
4337,213100.0
5007,500001.0
4327,500001.0
9030,137500.0
1355,280900.0
17064,194200.0
16098,272000.0
8472,84900.0
804,90500.0
17849,152800.0
1340,192800.0
11279,175900.0
3443,75000.0
11120,293100.0
12962,151300.0
15133,136000.0
9417,67900.0
15436,22500.0
13323,228100.0
3119,272200.0
2878,144600.0
17400,35000.0
13303,222100.0
15026,126300.0
8217,51900.0
15666,66000.0
5290,359600.0
12816,280400.0
10583,137500.0
7512,169600.0
7926,88300.0
4334,316400.0
14073,109400.0
20134,240300.0
9619,94200.0
19677,108400.0
1164,177200.0
19612,86300.0
7044,500001.0
1097,245400.0
7728,88200.0
19080,349600.0
18440,270100.0
13491,171200.0
16138,83700.0
6503,65300.0
17781,164400.0
11679,150900.0
15071,187000.0
7012,174400.0
17717,162700.0
13739,115800.0
1202,84000.0
7555,135800.0
2518,161200.0
9958,218900.0
14282,71800.0
14266,206300.0
18767,493400.0
7964,500001.0
8321,97000.0
12222,106300.0
15568,193800.0
4809,170200.0
3752,59000.0
3716,222800.0
8143,57800.0
20611,47000.0
17087,120700.0
281,176900.0
5297,500001.0
20435,156800.0
9032,179600.0
10138,263400.0
9967,56500.0
17291,157500.0
18001,128000.0
4418,205000.0
1170,159200.0
5195,131400.0
7477,57500.0
3195,444200.0
18643,269300.0
9837,209100.0
19623,49800.0
19956,213200.0
19772,438400.0
354,231900.0
12928,215500.0
19308,267400.0
4209,306800.0
8441,268800.0
4781,230200.0
13490,125700.0
10135,275000.0
13711,500001.0
3048,500001.0
13626,62400.0
12491,348200.0
16740,140100.0
12761,234000.0
9768,207000.0
18651,238700.0
14929,137900.0
13686,93800.0
15951,152500.0
18786,230200.0
10782,207100.0
7335,192300.0
19905,271300.0
13420,159100.0
7030,162800.0
14892,230400.0
19299,86600.0
17416,274000.0
20519,279100.0
8957,116700.0
4759,224000.0
6364,158300.0
4459,280200.0
7451,280200.0
